Date,Control,Debit,Credit,Net
1/1/2025,R-1567603,10.73,0.00,10.73
1/1/2025,R-1567603,13.07,0.00,13.07
1/1/2025,R-1567603,30.28,0.00,30.28
1/1/2025,R-1567603,"2,721.00",0.00,"2,721.00"
1/1/2025,R-1567604,5.00,0.00,5.00
1/1/2025,R-1567604,10.73,0.00,10.73
1/1/2025,R-1567604,20.95,0.00,20.95
1/1/2025,R-1567604,55.00,0.00,55.00
1/1/2025,R-1567604,1.74,0.00,1.74
1/1/2025,R-1567604,"3,343.00",0.00,"3,343.00"
1/1/2025,R-1567604,23.72,0.00,23.72
1/1/2025,R-1567604,39.54,0.00,39.54
1/1/2025,R-1567604,75.00,0.00,75.00
1/1/2025,R-1567604,90.00,0.00,90.00
1/1/2025,R-1567604,3.63,0.00,3.63
1/1/2025,R-1567605,21.15,0.00,21.15
1/1/2025,R-1567605,10.73,0.00,10.73
1/1/2025,R-1567605,20.00,0.00,20.00
1/1/2025,R-1567605,70.35,0.00,70.35
1/1/2025,R-1567605,"3,192.00",0.00,"3,192.00"
1/1/2025,R-1567605,1.74,0.00,1.74
1/1/2025,R-1567605,3.63,0.00,3.63
1/1/2025,R-1567605,5.00,0.00,5.00
1/1/2025,R-1567605,23.95,0.00,23.95
1/1/2025,R-1567605,75.00,0.00,75.00
1/1/2025,R-1567605,55.00,0.00,55.00
1/1/2025,R-1567605,40.00,0.00,40.00
1/1/2025,R-1567606,"2,086.00",0.00,"2,086.00"
1/1/2025,R-1567606,75.00,0.00,75.00
1/1/2025,R-1567607,1.74,0.00,1.74
1/1/2025,R-1567607,20.00,0.00,20.00
1/1/2025,R-1567607,7.87,0.00,7.87
1/1/2025,R-1567607,3.63,0.00,3.63
1/1/2025,R-1567607,8.38,0.00,8.38
1/1/2025,R-1567607,10.73,0.00,10.73
1/1/2025,R-1567607,"2,998.00",0.00,"2,998.00"
1/1/2025,R-1567607,90.00,0.00,90.00
1/1/2025,R-1567607,75.00,0.00,75.00
1/1/2025,R-1567607,21.91,0.00,21.91
1/1/2025,R-1567607,5.00,0.00,5.00
1/1/2025,R-1567607,25.00,0.00,25.00
